"군급","군급상태","명칭(한글)","명칭(영문)","주석(한글)","주석(영문)","포함(한글)","포함(영문)","제외(한글)","제외(영문)"
"5640","A","벽판,건축용 종이 및 (열)절연자재","Wallboard, Building Paper, and Thermal Insulation Materials","","","건축용 종이판; 천정판 ;석고판; 절연판; 플래스터 보드; 방음판; 아스팔트 종이; 벽지; 광물면; 유리면; 파이프 커버 [註] ⓐ플래스터 보드:석고를 속에 넣은 판지 ⓑ아스팔트 종이:건축용의 타르를 먹인 종이","Includes Paper Building Board; Ceiling Board; Gypsum Board; Insulating Board; Plasterboard; Soundproofing Board; Tar Paper; Wallpaper; Mineral Wool; Glass Wool Batts; Pipe Covering.","(전기)절연자재","Excludes Electrical Insulation Materials."
"5650","A","지붕 이는 재료 및 벽면 자재","Roofing and Siding Materials","","","금속판을 포함 모든 지붕 이는 자재; 지붕 이는 펠트; 롤식 지붕 이는 재료; 지붕 이는 타일; 지붕 이는 널판지","Includes Roofing (all materials), including Sheet Metal; Roofing Felt; Roll Roofing; Roofing Tile; Shingles.","아스팔트 종이; 가공하지 않은 지붕 및 벽면 금속판; 벽면 목재","Excludes Tar Paper; Bulk Sheet Metal Roofing and Siding; Wood Siding."
"5660","A","울타리 재료,울타리,문 및 구성품","Fencing, Fences, Gates and Components","","","","","",""
"5670","A","조립식 건축 구성품","Building Components, Prefabricated","목재로서 특별히 지정된 품목은 군급 5520 ""목공품""으로 분류한다","Note-Items specified as wooden are classified in 5520","문틀; 창문틀; 창문 섀시; 처마 홈통; 창살; 격자; 셔터; 고정식 화재피난장치; 설치식 칸막이","Includes Door Frames; Window Frames; Window Sashes; Eave Troughs (Gutters); Gratings; Grilles; Shutters; Fixed Fire Escapes; Mounted Partitions.","수채와 같은 배관 및 관련 구성품, 벽판 및 비품으로 분류된 품목","Excludes Plumbing and associated components such as Sinks; Wallboard and items classified as furniture."
"5675","A","비목재 건축 재목 및 관련 자재","Nonwood Construction Lumber and Related Materials","","","비목재형 각재; 바닥재; 특수 부스러기 및 조각재; 비목재 널빤지","Includes Nonwood Dimensional Lumber; Flooring; Special Turning and Carvings; Nonwood Veneer.","목공제품 및 목재 베니어판(군급 5520 ""목공품"" 및 5530 ""합판 및 베니어판""); 목재류 품목(군급 5510 ""목재 및 관련 목재자재"")","Excludes Millwork and Wood Veneer (FSCs 5520 and 5530); Items specified as Wooden (FSC 5510)."
"5680","A","기타 건축자재","Miscellaneous Construction Materials","","","확장된 금속판; 항공기 착륙 매트; 견인 매트","Includes Expanded Metal Lath; Airplane Landing Mats; Traction Mats.","",""
"5800","A","통신,탐지 및 방사능 간섭 장비","Communication, Detection, and Coherent Radiation Equipment","군급 5955 ""발진기 및 피아조 전기식 검파용 광석"" 또는 5963 ""전자모듈""에 분류되는 발진기 품목; 그룹 60 ""광섬유 재료, 구성품, 조립체 및 부수품""에 분류되는 광섬유 품목; 군급 5963 ""전자모듈""에 정의된 전자모듈; 그룹 58 ""통신, 탐지 및 방사능 간섭장비"" 장비에 관련된 전기 케이블, 코드 및 도선 조립체, 하네스 및 세트(군급 5995 ""통신 장비용 케이블, 코드 및 와이어 조립체"" 참조) 더욱이 그룹 58 ""통신 탐지 및 방사능 간섭장비""이외의  그룹의 표제어로서 그러한 명칭이 다른 군급보다 더 그룹 ""58""의 여러 군급에서 색인 표제어로서 등록된 동일한 명칭이 자주 나타날 것이다. 다른 품목이 동일한 명칭을 가진다 할지라도 그러한 각각의 표제어는 명백하게 다른 부분품 또는 조립체를 나타낸다. 둘 이상의 군급에서 동일한 명칭의 목록들은 한 형태로는 하나의 군급에 속하는 장비에 적용되는 명칭의 부분품 또는 조립체를 지시한다. 또 다른 형태로는 다른 군급에 속하는 장비에 적용되는 부분품 또는 조립체를 의미한다. 예를 들면 품명 ""암호해독기, 가청주파수용""은 두개의 명백하게 다른 조립체에 적용된다. 하나는 군급 5810 ""통신 암호장비 및 구성품""에 속하는 암호장비에 적용된다. 다른 하나는 군급 5840 ""비항공기 탑재용 레이더 장비""에 속하는 레이더 장비에 적용된다. 결과적으로 품명 ""암호해독기, 가청주파수용""은 두개의 군급 각각에 적용되는 표제어이다. 품목식별이 그룹 ""58""의 하나의 군급, 그룹 ""58""내 또는 다른 군급의 하나 이상에 색인되는 품명이 있다면 그 품목은 DIDS 절차 매뉴얼 DoD 4100.39-M에서 기술하는 대로 다음의 상위 조립체로서 동일한 군급에 분류될 것이다. 터미널, 센서 및 다른 자동 데이터 처리장치와 같은 자동 데이터 처리장비 구성용으로 설계된 장치는 이 그룹에서 제외한다","Note-Excludes oscillator items which should be classified in FSC 5955 or 5963; fiber optic items which should be classified in Group 60; electronic modules as defined under Class 5963; and electrical cable, cord and wire assemblies, harnesses and sets, related to FSG 58 equipment (see FSC 5995). In Group 58, more than in any other group, it frequently happens that the same name is listed as an index entry in each of several classes. In addition, that name may also appear as an entry in groups other than 58. Each such entry refers to a distinctly different part or assembly, even though the different items have the same name. The listing of the same names in two or more classes indicates that, in one form, the part or assembly covered by the name is applicable to the equipment covered by one class, and in another form is applicable to the equipment covered by another class. For example, the item name CODER, AUDIO FREQUENCY is applicable to two distinctly different assemblies, one of which has an application in cryptologic equipment, covered by Class 5810, and the other in radar equipment covered by Class 5840. Consequently the name CODER, AUDIO FREQUENCY is an entry under each of the two classes.  When an item identification bears a name which is indexed under more than one class of Group 58, or in Group 58 and in some other group, the item will be classified in the same class as its next higher assembly in the manner described in the Federal Logistics Information System (FLIS) Procedures Manual, DoD 4100.39-M.  Also excluded from this group are data transmission and communications equipment such as terminals, sensors and other devices designed for use with a configuration of ADPE.","","","",""
"5805","A","전화 및 전신장비","Telephone and Telegraph Equipment","","","","","",""
"5810","A","통신암호장비 및 구성품","Communications Security Equipment and Components","","","","","",""
"5811","A","기타 암호장비 및 구성품","Other Cryptologic Equipment and Components","","","","","",""
"5815","A","텔레타이프 및 팩시밀리장비 ","Teletype and Facsimile Equipment","","","티커에서 자동적으로 나오는 테이프 및 시그톳 장비.","Includes Ticker Tape and Sigtot Equipment.","",""
"5820","A","비항공기 탑재용 라디오 및 텔레비전 통신장비","Radio and Television Communication Equipment, Except Airborne","","","원격측정장비","Includes Telemetering Equipment.","가정용 라디오 및 텔레비젼 장비","Excludes Home Type Radio and Television Equipment."
"5821","A","항공기 탑재용 라디오 및 텔레비전 통신장비","Radio and Television Communication Equipment, Airborne","","","원격측정장비.","Includes Telemetering Equipment.","",""
"5825","A","비항공기 탑재용 무선항법장비","Radio Navigation Equipment, Except Airborne","","","로랜 장비; 쇼랜 장비; 방향 탐지장비 [註] ⓐ로랜 장비:장거리 항법에 사용하는 자기 위치 측정장치 ⓑ쇼랜 장비:단거리 무선 항법장치","Includes Loran Equipment; Shoran Equipment; Direction Finding Equipment.","",""
"5826","A","항공기 탑재용 무선항법장비","Radio Navigation Equipment, Airborne","","","로란장비, 쇼란장비, 방향탐지장비.","Includes Loran Equipment; Shoran Equipment; Direction Finding Equipment.","",""
"5830","A","비항공기 탑재용 구내통신 및 확성장비","Intercommunication and Public Address Systems, Except Airborne","","","유선 오디오 시스템; 사무실 시스템; 선박 시스템; 탱크 시스템","Includes Wired Audio Systems; Office Type Systems; Shipboard Systems; Tank Systems.","",""
"5831","A","항공기 탑재용 구내통신 및 확성장비","Intercommunication and Public Address Systems, Airborne","","","","","",""
"5835","A","음성 녹음 및 재생장비 ","Sound Recording and Reproducing Equipment","","","","","가정용 축음기, 구술 장비","Excludes Phonographs, Home Type; Dictating Machines."
"5836","A","영상 녹음 및 재생장비","Video Recording and Reproducing Equipment","이 군급은 비디오 모니터, 텔레비젼, 카메라, 프린터 및 기타 통신장비와 함께 사용하는 녹음 및 재생장비로 한정하여 포함한다. 또한 비디오 녹음 및 재생장치용 클리너, 스플라이서, 리와인더, 릴 및 테이프와 같은 부수장비를 포함한다. 촬영장비(그룹 67 ""촬영장비), ADP형 컴퓨터 모니터(그룹 70 ""자동 데이터 처리장치(펌웨어 포함), 소프트웨어 공급품 및 보조장치"") 및 라디오 수신기/송신기에 포함된 비디오장치(그룹 58 ""통신, 탐지 및 방사능 간섭장비""의 적절한 군급에 분류)는 제외한다.","Note - This class includes and is restricted to electronic video equipment such as video monitors, televisions, cameras, printers, and recorders/reproducers used with miscellaneous communication equipment. Also included is associated equipment such as cleaners, splicers, rewinders, reels and tapes designed for use with video recording-reproducing equipment. Excluded from the class is photographic type equipment (Group 67), ADP type computer monitors (Group 70), and video equipment which includes radio receivers/transmitters (properly classified in more specific classes in Group 58). When cameras provide day and night video, they are to be classified in FSC 5836.","","","",""
"5840","A","레이더 장비, 비항공용","Radar Equipment, Except Airborne","사격통제장비 또는 유도탄용으로 특수제작된 레이더 조립체나 보조조립체는 이 군급에서 제외하며, 그룹 12 ""사격통제장비"" 또는 그룹 14 ""유도탄""의 해당 군급에 분류한다","Note-Radar assemblies and subassemblies designed specifically for use with fire control equipment or guided missiles are excluded from this class and are included in the appropriate classes of Group 12 or Group 14.","","","",""
"5841","A","레이더장비, 항공용","Radar Equipment, Airborne","사격통제장비 또는 유도탄용으로 특수제작된 레이더 조립체나 보조조립체는 이 군급에서 제외하며, 그룹 12 ""사격통제장비"" 또는 그룹 14 ""유도탄""의 해당 군급에 분류한다","Note-Radar assemblies and subassemblies designed specifically for use with fire control equipment or guided missiles are excluded from this class and are included in the appropriate classes of Group 12 or Group 14.","","","",""
"5845","A","수중 음향장비","Underwater Sound Equipment","사격통제 수중전파 탐지 시스템용으로 특수 제작된 품목은 이 군급에서 제외한다","Note-This class excludes items specifically designed for fire control sonar systems.","수중전파 탐지장비; 수중 청음장비; 무선 부표; 무선 부표 발사기; 음향 측심기 [註] ⓐ무선 부표:비행기에서 투하하는 수중 청음장치와 송신장치를 갖춘 잠수함 탐지용 소형 부표","Includes Sonar Equipment; Underwater Listening Equipment; Sonobuoys; Sonobuoy Launchers; Fathometers; Sofar Equipment.","",""
"5850","A","가시 및 불가시 광선통신장비","Visible and Invisible Light Communication Equipment","이 군급은 적외선 통신장비만을 포함한다. 사격통제계통, 유도탄계통, 시험 및 정비용 특수장비, 야간관측장비 및 비통신 장비용으로 특수 제작된 적외선 조립체, 보조조립체 및 구성품은 이 군급에서 제외한다","Note-This class includes only communication types of infrared equipment. Excluded from this class are infrared assemblies, subassemblies, and components designed specifically for use in fire control systems, guided missile systems, test and maintenance specialized equipment, night vision equipment, and other noncommunication types of equipment.","회광통신기","Includes Heliographs.","",""
"5855","A","방사 및 반사 발광식 야간관측장비","Night Vision Equipment, Emitted and Reflected Radiation","이 군급은 암흑속에서 은폐를 유지하는 물체 또는 지형 식별, 관찰, 탐색을 위한 수동 및(또는) 능동 기술을 이용하는 이미지 형성 장치 및 관련 보조장치, 그와 관련된 보조조립체 및 구성품을 포함한다. 발사통제 및(또는) 야간관측 및(또는) 탐색 목적을 위한 다기능 품목도 여기에 포함한다. 군급분류 체계상 적절한 곳에 분류할 수 있는 품목은 이 군급에서 제외한다.","Note-This class includes image forming devices and associated aids, their subassemblies and components, utilizing passive and/or active techniques for detection, observation, and identification of terrain and objects at night, while maintaining concealment afforded by darkness. Includes items having multiapplication for purposes of fire control, and/or night observation, and/or detection. Excluded from this class are items for which more specific classifications are suitable as prescribed by the structure and indexes of the FSC.","조준 및 관측장비, 목표탐지기 및 전파탐지기, 목표물로부터 방출되는 방열을 이용한 원격관측 시스템, 관련 방열원, 이미지 변환기 및 이미지 증강장치, 야간투시장비용으로 제작된 광전지 및 기타 구성품, 적외선 장비에 사용되는 고정기 및 렌즈 또한 이 군급에 포함한다","Includes Sighting and Observation Devices, Target Detectors and Locators, Remote Viewing Systems utilizing heat radiation emitted from object(s), associated Radiation Sources, Image Converters and Image Intensifiers, Optical Cells and other components designed for Night Vision Equipment.  Holders and Lens used with Infrared Equipment are also included in this FSC.","발사통제 목적으로 통합장치내에 주.야간 관측특성을 통합시킨 광학 조준장치, 유도탄, 통신 또는 실험장비용으로 제작된 비야간 관측장비 및 렌즈, 프리즘, 윈도우와 같은 광학소자","Excludes Optical Sighting and observation devices which incorporate both day and night viewing characteristics within an integral unit, nonnight vision type items designed for use with guided missiles, communications, or laboratory equipment, and Optical Elements, such as Lens, Prisms, Windows."
"5860","A","간섭조사방사장치,구성품 및 부속품","Stimulated Coherent Radiation Devices, Components, and Accessories","이 군급은 방사자극방출과 관련된 원리에 기초를 둔 작동장치 및 방사 간섭 조사기술과 직접적으로 관련된 관련 구성품 및 부수품에 한정, 포함한다. 생성하는 방법은  LASER(방사 자극 조사에 의한 광증폭) 및 MASER(방사 자극 조사에 의한 극초단파 증폭 및(또는) 분자 증폭) 기술에 의해 획득된다. 방사 간섭 조사용으로 특수 제작된 품목만이 이 군급에 포함된다. 그러한 장치를 포함한 조립체 또는 주 시스템은 이 군급에서 제외한다","Note-This class includes, and is restricted to, devices the operation of which is based on principles involving the stimulated emission of radiation, and to associated components and accessories directly related to stimulated coherent radiation techniques. The methods for producing the radiation are those obtained by LASER (Light Amplification by Stimulated Emission of Radiation) and by MASER (Microwave and/or Molecular Amplification by Stimulated Emission of Radiation) techniques. Only those items specifically designed for stimulated coherent radiation applications, and having no other application, are to be included in this class. Assemblies or major systems containing such devices are excluded from this class.","","","",""
"5865","A","전자적 대항체계와 신속대응장비","Electronic Countermeasures, Counter-Countermeasures and Quick Reaction Capability Equipment","이 군급은 적군에서 방사하는 전계 에너지의 효과성을 감소 또는 방해하기 위해 설계된 또는 아군에서 방사하는 전계 에너지의 효과성을 보장하기 위하여 설계된 수동 및 능동적인 전자장비, 장치 및 보조장치에 한정, 포함한다. 군급분류번호 구조내의 어느곳에도 분류될 수 없는 특수하게 설계된 전자 방해장비, 전자유지 측정장비 및 신속반응 능력성 장비를 포함한다. 군급분류번호 구조 및 색인에 의해 더욱 적절한 군급에 분류할 수 있는  비-전자품목은 이 군급에서 제외한다","Note-This class includes, and is restricted to, passive and active electronic equipment, systems, and subsystems designed to prevent or reduce an enemy's effective use of radiated electromagnetic energy or designed to insure our own effective use of radiated electromagnetic energy. Includes Electronic Countermeasures, Electronic Counter-Countermeasures, Electronic Support Measures, and Quick Reaction Capability Equipment and components specially designed therefore which are not classifiable elsewhere in the FSC Structure. Excluded from this class are non-electronic items which are properly classified in more specific classes in accordance with the FSC structure and indexes.","","","",""
"5895","A","기타 통신장비","Miscellaneous Communication Equipment","이 군급에는 다른 군급에 분류할 수 없는 기타 통신장비를 포함한다(그룹 58 ""통신, 탐지 및 방사능 간섭장비"" 참조)","Note-This class includes miscellaneous communication equipment that is not classified in more specific classes (see the NOTE for FSG 58).","모뎀","Includes Modems.","전자 방해장비","Excludes Electronic Countermeasures Equipment."
"5900","A","전기 및 전자장비 구성품","Electrical and Electronic Equipment Components","본 구룹의 클라스에는 부착용 금속기구로 브래킷,홀더,리테이너등 특별히설계된 품 목을 포함한다.본 구룹의 클라스로 부터 금속기구류 품목 스크류(클라스5305)볼트( 클라스5306),못(클라스5307),와셔(클라스5310)리벳트(클라스5320)와 구룹59 이외의 특정한 클라스에 색인된 기타 공통 품목은 제외된다.군급분류번호 색인 및 구조는  취급품목의 세부분류나 상기에 열거된 부착용 금속기구류를 결정할 것이다.                                   ？","Note-Mounting hardware, included in classes of this group, includes such specially designed items as brackets, holders, retainers, etc. Excluded from classes in this group are such hardware items as screws (Class 5305), bolts (Class 5306), studs (Class 5307), washers (Class 5310), rivets (Class 5320), and other common items indexed to specific classes, other than in Group 59. The FSC indexes and structure will govern the classification of items used on or with mounting hardware cited above.","","","",""
"5905","A","저항기","Resistor","","","버리스터(반도체 저항소자), 가감 저항기, 저항기 회로망, 저항기 부착용 철물, 온도에 따라 전기저항치가 달라지는 저항체","Includes Varistors; Resistive ballast Tubes; Rheostats; Resistor Networks; Resistor Mounting Hardware; Thermistors./","저항선.","Excludes Resistance Wire./"
"5910","A","축전기","Capacitors","","","간섭 필터 커패시터; 커패시터 부착용 철물","Includes Interference Filter Capacitors; Capacitor Mounting Hardware.","반도체장치 및 관련 하드웨어","Excludes Semiconductor Devices and Associated Hardware."
"5915","A","필터 및 회로망","Filters and Networks","이 군급은 저항기, 커패시터 및 코일이 배합되어 이루어진 필터 및 회로망을 포함하며, 저항기(군급 5905), 커패시터(군급 5910) 또는 코일(군급 5950 ""코일 및 변압기"")만으로 구성된 품목은 포함하지 않는다","Note-This class includes those filters and networks which consist of a combination of resistors, capacitors, or coils, but not a combination of resistors only (classified in 5905), capacitors only (classified in 5910), or coils only (classified in 5950).","","","",""
"5920","A","퓨즈,피뢰기,흡수재,보호장치","Fuses, Arrestors, Absorbers, and Protectors","","","퓨즈홀더; 퓨즈박스; 퓨즈포스트; 퓨즈링크; 퓨즈블록; 전류제한기; 코로나볼; 정전 방전기","Includes Fuseholders; Fuse Boxes; Fuse Posts; Fuse Links; Fuse Blocks; Current Limiters; Corona Balls; Electrostatic Dischargers.","차단기","Excludes Circuit Breakers."
"5925","A","회로 차단기","Circuit Breakers","","","회로 차단기 및 안전기","Includes Circuit Breakers and Cutouts.","계전기","Excludes Relays."
"5930","A","스위치","Switches","","","회전 스위치, 나이프 스위치, 토글 스위치, 누름단추식 스위치,수은 스위치, 온도조절 스위치 및 압력차 스위치","Includes Rotary, Knife, Toggle, Push Button, Mercury, Thermostatic, and Differential Pressure Switches.","개폐기","Excludes Switchgear."
"5935","A","전기 커넥터","Connectors, Electrical","","","플러그; 잭; 리셉터클; 전자구성품 소켓 및 관련 부수품","Includes Plugs; Jacks; Receptacles, Electronic Component Sockets and Associated Accessories","광섬유 상호연결기","Excludes Interconnectors, Fiber Optic"
"5940","A","러그,단자 및 단자판","Lugs, Terminals, and Terminal Strips","","","결박 단자; 축전지 클립; 말뚝 단자; 시험 클립","Includes Binding Posts; Battery Clips; Stud Terminals; Test Clips.","전기 캡; 전기 클립 및 전기 접촉자","Excludes Caps, Electrical; Clips, Electrical; and Contacts, Electrical."
"5945","A","계전기 및 솔레노이드","Relays and Solenoids","","","전자기 작동기","Includes Electromagnetic Actuators.","접촉자","Excludes Contractors."
"5950","A","코일 및 변압기","Coils and Transformers","","","점화 및 자석코일을 제외한 코일; 코일 조립체; 자석 증폭기; 리액터; 변압기","Includes Coils, except ignition and magneto; coil assemblies; reactors; transformers.","",""
"5955","A","발진기 및 피아조 전기식 검파용 광석","Oscillators and Piezoelectric Crystals","","","검파용 광석장치, 가공된 비장착 검파용 광석, 검파용 광석 제어 발진기 및 비검파용 광석 제어 발진기","Includes Crystal Units, Processed Unmounted Crystals, Crystal Controlled Oscillators and Noncrystal Controlled Oscillators","군급 5963 ""전자모듈"" 및 미소회로로 정의된 ""전자모듈"" 용어의 정의와 일치하는 검파용 광석 제어 발진기 및 비검파용 광석 제어 발진기","Excludes Crystal Controlled Oscillators and Noncrystal Controlled Oscillators which meet the definition of the term ""electronic module"" as defined for FSC 5963 and Microcircuits"
"5960","A","전자관 및 관련 하드웨어","Electron Tubes and Associated Hardware","","","정류관; 광전관; 전자 진폭관","Includes Rectifying Tubes; Photoelectric Tubes; Electron Vibrator Tubes.","트랜지스터; 튜브 소켓; X-선관; 반도체 장치 및 관련 하드웨어","Excludes Transistors; Tube Sockets; X-ray Tubes; Semiconductor Devices and Associated Hardware."
"5961","A","반도체 장치 및 관련 하드웨어","Semiconductor Devices and Associated Hardware","","","반도체 조립체; 반도체 다이오드; 반도체 정류기; 반도체 사이리스터; 트랜지스터; 통합식 반도체; 소켓을 제외한 관련 하드웨어","Includes Semiconductor Assemblies; Semiconductor Diodes; Semiconductor Rectifiers, Semiconductor Thyristors; Transistors; Unitized Semiconductors; Associated Hardware except Sockets.","미소회로; 광학 전자장치 및 관련 하드웨어","Excludes Microcircuits; Optoelectronic Devices and Associated Hardware."
"5962","A","전자 집적회로","Microcircuits, Electronic","(1) 미소회로는 아래와 같이 정의한다: 전자회로 기능을 수행하기 위한 단일기질 또는 단일기질내에 형성된 상호연결 소자로 구성된 단일부품으로 간주되는 고등가 회로소자 밀도를 가진 작은 회로이다. 소자는 반도체 재료의 기질내에 형성될 수 있으며, 절연 기질위에 형성된 전도성 필름을 구성할 수 있으며, 분리된 소자를 가진 이러한 형태의 하나 또는 둘의 조합일 수 있다. (2) 이 군급에 포함되는 회로장치에 적용되는 ""미소회로""란 용어는 상호연결된 ""마이크로 구성품""(서로 분리된 소형 구성품)으로만 구성된 품목을 제외하여 범위를 정한다. 또한 그 자체내에서 전자회로 기능을 수행하지 못하는 돌로 구성된 뚜꺼운 필름 또는 박막 필름 구조 형태로 조합된 품목을 제외한다(예를 들면 커패시터, 저항기, 트랜지스터 또는 그것의 ""계전기"")","Note-(1) A microcircuit is defined as follows: A small circuit having a high equivalent circuit element density, which is considered as a single part composed of interconnected elements placed and/or formed on or within a single substrate to perform an electronic circuit function. The elements may be formed on or within a semiconductor material substrate; may consist of conductive film(s) formed on an insulating substrate; or may be a combination of one or both of these types with discrete elements.  (2) The term ""microcircuit"", as applied to circuit devices included in this class, is delimited to exclude items consisting solely of interconnected ""microcomponents"" (discrete miniaturized components). Also excluded are items fabricated in the form of monolithic thick-film or thin-film structures that in themselves are not functional electronic circuits (e.g., Capacitors, Resistors, Transistors, or ""arrays"" thereof).","집적회로장치; 집적회로모듈; 집적전자장치; 하이브리드, 마그네틱, 분자, 전자 및 박막 필름","Includes Integrated Circuit Devices; Integrated Circuit Modules, Integrated Electronic Devices: Hybrid, Magnetic, Molecular, Opto-Electronic, and Thin Film.","커패시터와 같은 단일 회로소자, 다이오드 및 트랜지스터, 인쇄회로기판 및 회로카드 조립체, 여파기 및 회로망","Excludes Single Circuit Elements such as Capacitors; Resistors; Diodes and Transistors; Printed Circuit Boards and Circuit Card Assemblies; and Filters and Networks."
"5963","A","전자모듈","Electronic Modules","""전자모듈""용어는 이 군급내의 전자 구성품으로 설계된 명칭으로 사용되었고,다양한 장비나 완제품 적용 장비내에 이득,발진,스위칭 또는 유사한 전체전자 기능을 산출하기 위한 제어전압 및/또는 전류의 능력에 관해 사용되었다. 전자모듈은 전기 접촉이 완벽하게 요구되는 소규모화된 전자부품의 집합체 및/또는 플럭식 단일대체 소화물 소자들로 구성되었다. 전자모듈은 회로카드 조립체 및 전자 구성품 조립체와 같은 품목분류로서분해하면은 정상적으로 종속되지 않는다. 이런 모듈들은 기업 또는 정부 규격서/표준서에 따르며,모듈장려부서 및엄격한 운용성능 보증부서에서 요구되는 모든 물리적 치수 및 전기적 상수를 정의하였다.","Note-The term ""electronic module"" as used in this class designates an electronic component designed for use in various equipment or end item applications, and capable of controlling voltage and/or current to produce gain, oscillation, switching, or similar integral electronic functions. It consists of a collection of miniaturized electronic parts and/or elements in a single replaceable package with plug-in mounting which will also complete the required electrical connections. It is not normally subject to disassembly as distinguished from such items as CIRCUIT CARD ASSEMBLY and ELECTRONIC COMPONENTS ASSEMBLY. These modules conform to industry or government specifications/standards that define all physical dimensions and electrical parameters required to promote commonality and ensure proper operational performance.","","","미소회로; 전자 시험장비 플러그-인 유닛","Excludes MICROCIRCUITS; Electronic Test Equipment Plug-In Units."
"5965","A","헤드세트,핸드세트,마이크로폰 및 스피커","Headsets, Handsets, Microphones and Speakers","","","","","",""
"5970","A","전기 절연체 및 절연재","Electrical Insulators and Insulating Materials","","","튜브, 노브, 클리트 및 스탠드오프 절연체; 관통 절연체, 비드 절연체, 니스 아마포 테이프, 전선 절연용 테이프","Includes Tube, Knob, Cleat, Strain, and Standoff Insulators; Feed Thru Insulators; Bead Insulators; Varnish Cambric Tape; Friction Tape.","",""
"5975","A","전기용 하드웨어 및 용품","Electrical Hardware and Supplies","","","전선관; 배선관; 출구 및 연결 박스; 다른 곳에 분류할 수 없는 전주선 하드웨어","Includes Conduit; Raceways; Face Plates; Condulets; Outlet and Junction Boxes; Pole Line Hardware, not elsewhere classifiable.","",""
"5977","A","전기 접촉 브러시 및 전극","Electrical Contact Brushes and Electrodes","","","전기 회전 장비용 브러시; 브러시용 탄소봉; 브러시 암 및 홀더; 전극봉","Includes Brushes for electrical rotating equipment; Carbon Stock for Brushes; Brush Arm and Holders; Lighting Electrodes.","양극; 음극; 용접봉","Excludes Anodes; Cathodes; Welding Electrodes."
"5980","A","광학 전자장치 및 관련 하드웨어","Optoelectronic Devices and Associated Hardware","","","숫자, 문자 숫자를 포함하는, 기호 또는 그래픽 정보를 표시하는 광학전자 장치 및 조립체, 이미터, 전자 시스템 내에서 활발한 기능을 수행하는 커플러, 검파기 및 스위치와 같은 비표시 광학전자 장치","Includes Optoelectronic devices and assemblies which display numeric, alpha-numeric, symbolic, or graphic information, emitters, and nondisplay optoelectronic devices, such as couplers, detectors, and switches which perform an active function in an electronic system%","전등설비, 램프 및 관련 하드웨어","Excludes electric lighting fixtures, lamps, and associated hardware%"
"5985","A","안테나,도파관 및 관련 장비","Antennas, Waveguides, and Related Equipment","","","안테나; 전주; 탑 장비; 감쇠기; 연결기; 전송라인","Includes Aerials; Masts; Tower Equipment; Attenuators; Couplers; Transmission Lines.","탑 구조물","Excludes Tower Structures."
"5990","A","동기장치 및 분해기","Synchros and Resolvers","","","","","동기장치; 서보장치","Excludes Synchro Systems; Servo Mechanisms."
"5995","A","통신장비용 케이블,코드 및 와이어 조립체","Cable, Cord, and Wire Assemblies: Communication Equipment","이 군급은 그룹 58 ""통신, 탐지 및 방사능 간섭장비"" 및 그룹 59 ""전기 및 전자장비 구성품""에 속하는 케이블, 코드 및 와이어 조립체 형태의 것만을 포함한다. 그룹 58 또는 59 이외의 군급에 분류되는 장비와 함께 사용되는 케이블, 코드, 와어어 조립체 및 세트(배선계통 하네스)는 적용가능하면 군급 6150 ""기타 잡종전원 및 배전용 장비""에 분류하거나 특수 설계된 품목은 그 품목 바로 윗단계의 품목과 함께 분류한다","Note-This class includes only those types of cable, cord, and Wire Assemblies and Sets (and Wiring Harnesses) used on or with equipment and components covered by Groups 58, 59 and 70. Cable, Cord, Wire Assemblies, and Sets (Wiring Harnesses) used on or with equipment classified in FSC Groups other than Groups 58, 59, or 70 are classified in FSC Class 6150 if multiapplication, or classified with the next higher classifiable assembly if specially designed.","","","광섬유 케이블 조립체","Excludes Cable Assemblies, Fiber Optic."
"5996","A","증폭기","Amplifiers","","","가청주파 증폭기, 보충 증폭기, 증폭기, 작동식 증폭기, 전원 증폭기, 무선주파수 증폭기, 신호용 증폭기 및 비디오 증폭기","Includes Audio Amplifiers, Complementary Amplifiers, Amplifiers, Operational Amplifiers, Power Amplifiers, Radio Frequency Amplifiers, Signal Amplifiers, Video Amplifiers, and Magnetic Amplifiers.","증폭기-검파기, 증폭기-혼합기 및 미소회로 장치와 같은 다기능 품목","Excludes multi-functional items such as Amplifier-Detector, Amplifier-Mixer and microcircuit devices."
"5998","A","전기 및 전자 조립체,보드,카드 및 관련 하드웨어","Electrical and Electronic Assemblies, Boards, Cards, and Associated Hardware","","","","","보다 더 명확한 지정품명으로 식별할수 있는 회로카드 및 전자구성품 조립체","Excludes circuit card and electronic component assemblies which can be identified to a more definitive Approved Item Name."
"5999","A","기타 전기 및 전자 구성품","Miscellaneous Electrical and Electronic Components","","","영구자석 및 자기변형 소자; 캡, 클립, 전기 접촉물","Includes Permanent Magnets and Magnetostriction Elements; Caps, Clips, and Contacts, Electrical.","",""
