,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 
48512,127,MCT0035,1,17179,***,여자축구부 훈련용품(축구화 등 22종),물품,MCT,국군체육부대,2021-05-12 10:30,H751B,진성,ZinSung,신진업,070-8870-0072,070-8870-0072,경상남도 창원시 의창구 대산면 봉강가술로519-0 번지,98.544,"37,528,210"
48521,118,SCF0179,1,16684,***,(긴급) 디스플레이 유닛 등 3종,물품,SCF,해군군수사령부,2021-05-12 10:30,K8469,다온상사,,최은정,1057849957,010-5784-9957,경기도 평택시 안중읍 안현로서6길10 4층 405-비12호,88.036,"10,658,560"
48533,10,HCC0042,1,17193,***,"게이지, 전해질수위용 1EA 구매(21098)",물품,HCC,해군제1수리창,2021-05-12 10:30,IDBF5,지원종합상사,,심지선,070-4919-9631,070-4919-9631,강원도 동해시 송정2길21-0 (송정동),88.28,"1,829,700"
48534,28,HCC0041,1,17151,***,"하우징, 터보과급기용 1EA 구매(21129)",물품,HCC,해군제1수리창,2021-05-12 10:30,IDBF5,지원종합상사,,심지선,070-4919-9631,070-4919-9631,강원도 동해시 송정2길21-0 (송정동),88.0,"5,035,700"
48535,34,HCC0040,1,17140,***,주파수변환기 1EA 구매(21124),물품,HCC,해군제1수리창,2021-05-12 10:30,JE4A0,주희테크,,문제원,070-4772-1096,070-4772-1096,강원특별자치도 고성군 거진읍 수외북2길14-0  1층 1호,87.999,"6,607,800"
48542,65,LCF0449,1,15551,***,탐지3호 모뎀 등 4항목 구매(통신),물품,LCF,육군군수사령부,2021-05-11 11:30,JD3E8,주식회사 케이디미디어,,이규동,7076223473,070-7622-3473,대구광역시 북구 구암로42길9-0 (구암동),88.032,"39,355,250"
48543,8,EBB0062,2,933,***,고속단정 인양기,물품,EBB,지상공통전력운영계약팀,2021-05-11 11:00,BFD14,(주)테크플라워,"TECH FLOWER CO., LTD",김종철,513208222,051-320-8222,부산광역시 사상구 대동로303-0 (감전동),85.163,"303,490,000"
48552,14,NIT0001,1,16079,***,유전자 감정 재료 구매,물품,NIT,국방부조사본부,2021-05-11 11:00,C3187,주식회사 엘씨케이테크놀로지스,"LCK TECHNOLOGIES Co., Ltd.",홍광표,226312122,02-2631-2122,서울특별시 강서구 양천로401 (가양동) 강서한강자이타워 B동1503~1506호,91.462,"377,499,100"
48555,5,LCG0042,1,15888,***,전반기 신규 임용 예비군 지휘관 근무복류 제조,물품,LCG,육군본부,2021-05-11 11:00,E5144,주식회사 나루지엠에스,narugms,조승현,25989154,02-598-9154,"서울특별시 서초구 사임당로19길 40-8,  2층(서초동)",97.596,"14,964,000"
48561,20,EBB0139,1,4903,***,"연장기, 경고등용",물품,EBB,지상공통전력운영계약팀,2021-05-11 11:00,4517F,한성정공,,이승호,512622258,051-262-2258,부산광역시 사하구 다대로354번길 61(),88.787,"29,300,000"
48562,2,LCF0113,1,15176,***,활차 1항목 제조(일반물자),물품,LCF,육군군수사령부,2021-05-11 10:30,K4BD8,금성ENG,,박영식,031-935-6123,031-935-6123,경기도 파주시 파주읍 매바위길7-5,90.704,"13,500,000"
48563,112,SCK0066,1,16913,***,보강토블럭 등 2종 구매,물품,SCK,해군교육사령부,2021-05-11 10:30,IC21A,주식회사 더원시스템,,정혜선,7082743717,070-8274-3717,"경상남도 창원시 의창구 북면 감계로342, 216동 1902호(창원감계아내에코프리미엄2차)",88.007,"39,293,210"
48565,167,SCK0068,1,16911,***,3색 유성펜 등 105종 구매,물품,SCK,해군교육사령부,2021-05-11 10:30,I4B9E,주식회사 예운,yeun,석경연,1085407387,010-8540-7387,"경상남도 창원시 마산합포구 산호북4길30, 가동 상가2-12호(산호동, 용마맨션)",88.001,"10,005,620"
48568,2,DSS0042,1,16894,***,1.2톤 견인차 1대 제조납품,물품,DSS,국군제1068부대,2021-05-11 10:30,G2AB6,주식회사 엠뱅크특장기술,"MBANK SVT CO.,LTD",최태근,070-4680-4901,070-4680-4901,경기도 화성시 송산면 삼존로260-0,99.54,"41,100,000"
48572,41,SCP0082,1,16959,***,다목적방향제 등 78종 구매,물품,SCP,제8385부대,2021-05-11 10:30,C9854,(주)글로벌넷,globalnet.co,강경택,1043114505,010-4311-4505,강원특별자치도 동해시 동굴3길9-5 (천곡동),88.275,"42,716,088"
48576,10,LNT0016,1,16993,***,21년 축성도구 구매,물품,LNT,제28보병사단,2021-05-11 10:30,CE308,고은상사,goeun,김진웅,318641519,031-864-1519,경기도 동두천시 평화로2349번길8-9 (생연동),88.057,"22,483,550"
48581,420,SCF0299,1,16443,***,양념분쇄기 등 3종 구매,물품,SCF,해군군수사령부,2021-05-11 10:30,J367B,글리터캐슬,,박지민,1053430804,010-5343-0804,"경기도 광주시 회안대로637-36 (탄벌동, 경남아너스빌 2단지)",88.013,"23,846,930"
48582,129,SCF0172,1,15497,***,대기용 활성탄 등 26종,물품,SCF,해군군수사령부,2021-05-11 10:30,K3793,바로산업,,임재영,055-609-1588,055-609-1588,경상남도 창원시 의창구 원이대로178번길42-0 (명서동),88.036,"37,000,040"
48583,95,SCF0140,2,12927,***,(긴급) 플라스틱성형재 등 9종,물품,SCF,해군군수사령부,2021-05-11 10:30,G989D,금성특수산업,GoldStar Special Lnd,김진봉,051-313-8822,051-313-8822,부산광역시 사상구 광장로34 금성특수산업,98.059,"20,550,000"
48587,22,LPS0005,1,16881,***,탄약고 및 무기고 무선비상벨 설치납품,물품,LPS,제60보병사단,2021-05-11 10:30,BA7C8,주식회사두성미디어,doosungmedia,정재득,314663300,031-466-3300,"경기도 안양시 만안구 안양로80, 703호(안양동, 국토빌딩)",88.027,"25,057,010"
48592,128,HDI0006,1,14947,***,흡입샌더 등 27품목 구매,물품,HDI,공군83정보통신정비창,2021-05-10 16:00,J662F,구구컴퍼니,,김수현,02-6091-1083,02-6091-1083,경기도 광명시 시청로29번길8-1 (철산동),88.056,"23,805,646"
48600,7,SCU0038,1,16745,***,자바라 컨베이어 3EA 구매,물품,SCU,해군 기동함대사령부,2021-05-10 11:00,GA94F,성화종합상사,sunghwa,이애숙,518054447,051-805-4447,"경상남도 창원시 성산구 신촌로95-0 (신촌동, 동성임대아파트) 102-507",88.041,"2,227,000"
48603,211,UMM0296,1,14378,***,21-1차 정보화 운용재료 구매,물품,UMM,국군재정관리단,2021-05-10 11:00,J0647,케이엔지컴퍼니,,김남규,1033039689,010-3303-9689,"경기도 부천시 고강로10-11 (원종동, 성진그린타운)",87.998,"152,339,877"
48606,1435,LGQ0017,1,17010,***,코로나19 백신수송호송용 3단진압봉 구매,물품,LGQ,제36보병사단,2021-05-10 11:00,J35D5,다우통상,,박미옥,010-9065-0704,010-9065-0704,"경기도 고양시 일산서구 중앙로1391, 1201동 1406호(주엽동, 강선마을)",87.995,"5,315,940"
48607,128,HDI0006,2,14947,***,흡입샌더 등 27품목 구매,물품,HDI,공군83정보통신정비창,2021-05-10 11:00,J662F,구구컴퍼니,,김수현,02-6091-1083,02-6091-1083,경기도 광명시 시청로29번길8-1 (철산동),88.056,"23,805,646"
48608,65,HDI0005,1,14545,***,"표시기, 전력비율용",물품,HDI,공군83정보통신정비창,2021-05-10 11:00,C2C0C,동우씨엠 서청주지사,dongwoo cm,이귀숙,043-273-6111,043-273-6111,충청북도 청주시 흥덕구 흥덕로 126(),87.997,"33,032,340"
48610,16,LPN0010,1,16724,***,'21년 정비 및 취사피복 제조 납품,물품,LPN,수도군단,2021-05-10 10:30,EF072,주식회사 금조디앤에스,kumjo.co.kr,최미숙,314783988,031-478-3988,"경기도 안양시 동안구 흥안대로 415, 두산벤처다임214,215(평촌동)",93.301,"73,500,000"
48611,21,LQG0019,1,16642,***,21년 정비피복류 구매,물품,LQG,육군 52보병사단,2021-05-10 10:30,GD9B9,주식회사 하이디,"HEIDI Co.,Ltd",김건수,216449624,02-1644-9624,경기도 파주시 법원읍 파주로2550-0,88.02,"24,721,190"
48613,271,SFN0036,1,16382,***,간이탄약 보관함 등 4품목 구매,물품,SFN,연평부대,2021-05-10 10:30,J5CBA,윈터세이프,,신동길,010-9373-1031,010-9373-1031,"인천광역시 남동구 인주대로662번길32, 7동 702호(구월동, 팬더아파트)",88.002,"57,558,732"
48614,298,SFN0035,1,16387,***,제설함 등 36품목 구매,물품,SFN,연평부대,2021-05-10 10:30,J0E6F,신비문화사,,이계선,032-833-1535,032-833-1535,인천광역시 미추홀구 주안중로25-0 (주안동)345호,88.003,"39,948,200"
48617,149,SCN0098,1,16829,***,대형 돗자리 등 59종,물품,SCN,제7001부대,2021-05-10 10:30,K85E0,구룡,,권주팔,055-546-7314,055-546-7314,경상남도 창원시 진해구 벚꽃로7 (창선동),88.0,"13,494,280"
48619,91,SDF0050,1,16760,***,형광펜 등 291종 구매,물품,SDF,제5738부대,2021-05-10 10:30,GC76E,문경종합상사,Mungyeong gonghap company,강문기,7078061806,070-7806-1806,경상남도 창원시 의창구 원이대로240번길31-0 (명서동),88.129,"6,093,500"
48620,85,SDF0049,1,16758,***,칼라정부화일 등 283종 구매,물품,SDF,제5738부대,2021-05-10 10:30,CD174,(주)포항자재,,양진수,542819788,054-281-9788,경상북도 포항시 남구 효자로138-0 (대잠동),88.01,"4,931,685"
48621,683,UDA0002,1,16662,***,전장순환 훈련용 더미 구매,물품,UDA,제3190부대,2021-05-10 10:30,K0DC9,비엠컴퍼니,,최영미,1022223258,010-2222-3258,"서울특별시 강남구 도산대로116, 1층(논현동, 신사빌딩)",88.002,"24,373,150"
48626,101,SDF0052,1,16766,***,더블클립 등 215종 구매,물품,SDF,제5738부대,2021-05-10 10:30,I4383,주식회사 동빈글로벌,Dongbinglobal,위정은,553651132,055-365-1132,"경상남도 창원시 성산구 완암로50, 넥스동 704호(성산동, SK테크노파크)",88.04,"27,519,460"
48628,7,EBBE025,1,5010,***,가이드,물품,EBB,지상공통전력운영계약팀,2021-05-07 14:00,JAB67,주윤테크,,임길헌,519117055,051-911-7055,부산광역시 사하구 하신중앙로3번나길16-6 (장림동),88.201,"3,555,800"
48634,74,HDK0021,1,16851,***,작업대 등 6종 구매,물품,HDK,공군제11전투비행단,2021-05-07 13:30,G79DF,(주)위즈덤스카이,Wisdomsky,김병철,7088987900,070-8898-7900,대구광역시 서구 달구벌대로329길98-0 (내당동) 1층,88.019,"14,050,307"
48635,94,HDK0020,1,16850,***,위험물 보관함 등 7종 구매,물품,HDK,공군제11전투비행단,2021-05-07 13:30,F7041,사)우리들행복나눔 종합가구사업단,our happy,임흥묵,315360555,031-536-0555,경기도 포천시 내촌면 작은넙고개1길84-0 가호동,88.001,"18,775,130"
48637,43,SFL0056,1,16572,***,군용 판초우의 제조 납품,물품,SFL,제3283부대,2021-05-07 11:00,K361B,원강인더스트리,,조정욱,032-361-5591,032-361-5591,인천광역시 부평구 부평대로313번길84-0 (청천동) 2층 2호,88.015,"50,475,890"
48639,2,UMM0288,1,16047,***,"21-탱크, 용융도금용, 직접 가열식 1종 제조",물품,UMM,국군재정관리단,2021-05-07 11:00,K4CEE,주식회사 디케이피,,옥영부,051-831-2280,051-831-2280,부산광역시 강서구 녹산산단261로60번길22-0 (송정동),88.579,"122,434,500"
48641,222,UMM0290,1,15138,***,상조용품(일회용품) 구매(219078-I),물품,UMM,국군재정관리단,2021-05-07 11:00,J0F7A,광명산업,,이계순,262681050,02-6268-1050,경기도 광명시 원노온사로15-0 (노온사동),88.013,"108,115,260"
48652,7,EBB0128,1,5144,***,하네스류,물품,EBB,지상공통전력운영계약팀,2021-05-07 11:00,0691F,대호정기(주),"Daeho Precision Co., Ltd",신영근,553452121,055-345-2121,경상남도 김해시 진영읍 서부로179번길 48(),83.887,"517,300,000"
48653,7,HCF0115,1,15210,***,송풍세척기 구매,물품,HCF,공군군수사령부,2021-05-07 10:30,H1CB8,주식회사 동광마이크론,Dong Kwang Micron,강점순,053-384-9339,053-384-9339,대구광역시 달서구 호산동로112-0 (호산동) (주)동광마이크론,88.705,"37,100,000"
48654,113,UHC0007,1,16594,***,21-조-18 이동형보관함 등 8종,물품,UHC,공군 작사예하 방포사예하 제2여단,2021-05-07 10:30,HA864,북소,bookso,윤선아,7041542709,070-4154-2709,경기도 수원시 팔달구 효원로308번길58-11 (인계동)201-501,88.0,"10,294,700"
48655,107,SDF0048,1,16564,***,지퍼백 등 391종 구매,물품,SDF,제5738부대,2021-05-07 10:30,K1F79,가인세상,,김가인,542476842,054-247-6842,경상북도 포항시 남구 대이로83번길9-5 (대잠동),88.017,"17,761,021"
48658,30,HCR0024,1,16579,***,"부싱장탈기(수동식) 등 14종 구매(21-061~064,067,069",물품,HCR,공군제15특수임무비행단,2021-05-07 10:30,I9233,안보종합상사,ANBOJONGHAPSANGSA,권창수,02-2631-8978,02-2631-8978,경기도 평택시 포승읍 호암1길13-4,88.0,"15,043,000"
48660,32,SDQ0036,1,16784,***,21-28-개스킷 등 11종,물품,SDQ,해군제2수리창,2021-05-07 10:30,J1254,주식회사 우창이엠이,,이병길,031-8025-7599,031-8025-7599,경기도 평택시 진위면 신리길46-0,88.019,"39,496,154"
48661,31,SDQ0035,1,16781,***,21-27-호스관 등 2종,물품,SDQ,해군제2수리창,2021-05-07 10:30,IB8B8,대지종합상사,Daeji,김상지,010-2744-5703,010-2744-5703,"경기도 평택시 중앙2로13-0 (평택동, 센텀스카이빌딩)",88.246,"15,352,500"
48663,27,SDQ0033,1,16777,***,21-25-엘보우 4개,물품,SDQ,해군제2수리창,2021-05-07 10:30,I4241,주식회사 승지산업,SEUNG JI COMPANY,임태경,316679880,031-667-9880,"경기도 평택시 진위면 진위2산단로15-20, 5층 503호",88.001,"29,156,686"
48664,245,LKT0032,1,17018,***,작전용 검문소 구매(장성),물품,LKT,제1989부대,2021-05-07 10:30,K0CD4,산하컴퍼니,,조미옥,1053630223,010-5363-0223,"전라남도 화순군 화순읍 칠충로83-11, 103동 203호(한국아델리움)",88.054,"7,923,380"
48665,34,SDQ0032,1,16772,***,21-24-냉각용 콘덴서 등 5종,물품,SDQ,해군제2수리창,2021-05-07 10:30,K7517,동 인,,최명진,7077865007,070-7786-5007,"경기도 평택시 청북읍 안청로4길17, 201호",88.022,"49,552,190"
48666,29,SDQ0031,1,16759,***,21-23-표면삽입기 등 2종,물품,SDQ,해군제2수리창,2021-05-07 10:30,IB084,삼정종합상사,samjung,정민식,010-9668-8013,010-9668-8013,"경기도 평택시 중앙2로13 (평택동)4층 401-a07호(평택동,센텀스카이빌딩)",88.018,"13,586,100"
48669,75,SCF0174,1,15547,***,"(긴급)디스플레이,광전자식 1종",물품,SCF,해군군수사령부,2021-05-07 10:30,I2678,Basic Korea(베이직산업),Basic Korea,이진국,031-782-9050,031-782-9050,경기도 성남시 분당구 성남대로51-0 (구미동) 포스빌 지하증 비127호,98.445,"9,845,000"
48671,92,SCF0175,1,15469,***,디스플레이 유닛 1종 구매,물품,SCF,해군군수사령부,2021-05-07 10:30,K43D9,에스앤제이 엔지니어,,김수경,051-208-9993,051-208-9993,부산광역시 강서구 과학산단1로60번길31 (지사동) 지사단지 1동 2층 205호,99.226,"10,094,000"
48679,91,SCF0290,1,9833,***,잡초방제용 부직포 1종 구매,물품,SCF,해군군수사령부,2021-05-07 10:30,IC455,쓰리지엠,,김성은,1057844133,010-5784-4133,"경기도 양주시 고읍로11-7 (고읍동, 산내들마을 한양수자인) 105-102",87.998,"6,713,000"
48680,251,MDN0005,1,16397,***,'21년 CSRP 초자 구매,물품,MDN,국군화생방방호사령부,2021-05-07 10:30,FE23B,에스에이리테일,S.A Retail,정내희,324629799,032-462-9799,"인천광역시 남동구 소래역로93, 909동 16층 1호(논현동, 냇마을 신영지웰)",88.01,"120,863,300"
48681,65,LPM0015,1,16327,***,재난 응급복구 자재(형강 등 00종) 구매,물품,LPM,제9보병사단사령부,2021-05-07 10:30,D2D23,시대종합전기(주),SIDAE TOTAL ELECTRIC,노운규,25030782,02-503-0782,경기도 과천시 별양상가1로18-0 (별양동)  803호,88.296,"60,088,016"
48685,10,ERA0003,2,3010,***,"리프트,자동차용",물품,ERA,우주지휘통신총괄계약팀,2021-05-06 14:00,K3D29,주식회사 세정엠티엘,,선일수,519250001,051-925-0001,부산광역시 강서구 녹산산업중로126-0 (송정동),88.402,"100,162,510"
48687,120,HDR0008,1,16581,***,[21-방공관제사-15] 헤드셋 등 4품목 구매,물품,HDR,공군방공관제사령부,2021-05-06 13:30,H40B0,주식회사 부영상사,Bu-Young Sang Sa,성윤미,557141117,055-714-1117,"부산광역시 강서구 미음산단로139번길9 (구랑동), 102호",88.079,"36,913,500"
48693,1182,LNS0007,1,16513,***,장병 안전보호세트 구매(안전벨트 등 6종),물품,LNS,제55보병사단,2021-05-06 11:00,J2B84,메이트리,,김문섭,7046405040,070-4640-5040,"경기도 광주시 태전동로12, 102-202 (태전동, 이편한세상태전2차)",88.0,"23,994,430"
48694,131,UMM0217,1,14305,***,(217150-E)분광계 구매,물품,UMM,국군재정관리단,2021-05-06 11:00,K5EEB,뉴트론테크,,김태용,1030349341,010-3034-9341,인천광역시 서구 파랑로495 (청라동) 에이스하이테크시티 1동306호,88.275,"107,243,305"
48698,711,UMM0276,1,13047,***,21-공-전자감응식 헤드셋 2종 구매,물품,UMM,국군재정관리단,2021-05-06 11:00,C38E2,(주)상보기업,SANGBO CORPORATION,오육환,220680989,02-2068-0989,서울특별시 구로구 신도림로11길9-64 (신도림동),83.023,"603,820,502"
48702,176,SCK0062,1,16398,***,다목적 수세미 등 460종 구매,물품,SCK,해군교육사령부,2021-05-06 10:30,JAEBB,주식회사 예린,,이중호,7047727683,070-4772-7683,"경상남도 창원시 성산구 연덕로184번길28, 3동2층6호(5호)(내동)",88.003,"28,038,830"
48703,174,SCK0061,1,16399,***,다용도 도구걸이대 등 396종 구매,물품,SCK,해군교육사령부,2021-05-06 10:30,K63E5,드림플러스,,이은경,1023347671,010-2334-7671,경상남도 창원시 성산구 원이대로580번길3-0 (중앙동) 3층 329호,88.003,"33,694,570"
48704,178,SCK0063,1,16409,***,축구공 등 437종 구매,물품,SCK,해군교육사령부,2021-05-06 10:30,HD8F4,스타CNS,starcns,정정훈,7048374570,070-4837-4570,경상남도 창원시 의창구 북면 천주로1380-58,88.003,"33,214,820"
48706,78,SCN0095,1,16385,***,마사토 등 2종,물품,SCN,제7001부대,2021-05-06 10:30,K6281,엠에이치유통,,성명화,552551033,055-255-1033,"경상남도 창원시 성산구 대정로73, 102동1305호 (남양동, 성원1차아파트)",88.021,"15,670,000"
48709,100,LNG0009,1,16207,***,21-1차 국가기술자격검정 실기시험 재료 구매,물품,LNG,육군 제1군단,2021-05-06 10:30,J6EFB,태성,,김익중,010-7711-7613,010-7711-7613,경기도 고양시 덕양구 읍내로25 (고양동),88.03,"17,243,713"
48710,48,MDN0006,1,16396,***,'21년 CSRP 시약 구매,물품,MDN,국군화생방방호사령부,2021-05-06 10:30,J4257,주식회사 오로라,,정순애,1075420347,010-7542-0347,"경기도 고양시 덕양구 능곡로13번길16-0 , 202동 2401호(토당동, 능곡2차현대홈타운)",88.006,"31,978,723"
48711,3,EBB0123,1,5070,***,휀다 및 판류,물품,EBB,지상공통전력운영계약팀,2021-05-04 14:30,3884F,(주)대립,"DAELIP Co., Ltd.",도명환,512621891,051-262-1891,부산광역시 강서구 과학산단로333번길22-0 (지사동),85.443,"1,384,000,000"
48715,15,EBB0127,1,4620,***,배럴 로드 셋 등 2종,물품,EBB,지상공통전력운영계약팀,2021-05-04 14:00,JA1FD,주식회사 천명하이텍,,윤명자,515143104,051-514-3104,부산광역시 사상구 새벽시장로124(감전동),88.106,"65,385,000"
48723,40,HCQ0029,1,16010,***,(21-101) 메탈램프 등 33종,물품,HCQ,공군제5공중기동비행단,2021-05-04 11:00,C5732,금호상사,,장이돌,051-804-2475,051-804-2475,부산광역시 부산진구 동성로 119-10(),88.028,"36,307,000"
48735,84,SDF0047,1,16266,***,열쇠보관함 등 396종 구매,물품,SDF,제5738부대,2021-05-04 10:30,ID19D,네오상사,,김민애,1093588645,010-9358-8645,경상북도 포항시 남구 포스코대로147-6 (대잠동),88.015,"5,206,310"
48743,111,SCF0165,1,15628,***,(긴급) 오-링 등 13종 구매,물품,SCF,해군군수사령부,2021-05-04 10:30,H6B46,한서유통,han seo,한경미,1027389753,010-2738-9753,"인천광역시 남동구 에코중앙로84번길42-0 (논현동),116-102",88.008,"12,602,300"
48744,25,SCF0164,1,14625,***,"(긴급)항법세트, 위성신호용 1종",물품,SCF,해군군수사령부,2021-05-04 10:30,I0684,라온상사,Raon.,하정욱,070-7396-5007,070-7396-5007,경상남도 창원시 진해구 충장로468번길32-9(이동),91.261,"5,628,320"
48745,151,SCF0171,1,14507,***,오-링 등 28종 구매,물품,SCF,해군군수사령부,2021-05-04 10:30,H0FD7,주식회사남동,주식회사남동,김재영,612770357,061-277-0357,전북특별자치도 무주군 무주읍 향학로27-1,88.115,"17,838,410"
48747,114,SCF0170,1,14505,***,팁 등 7종 구매,물품,SCF,해군군수사령부,2021-05-04 10:30,JF0FF,넥스케이드,,이병택,1088631757,010-8863-1757,"경기도 고양시 일산동구 무궁화로20-18 508-13호(장항동, 하임빌로 데오빌딩)",88.009,"5,797,780"
48751,163,SCF0277,1,11361,***,냉각용콘덴서 코일 14EA 구매,물품,SCF,해군군수사령부,2021-05-04 10:30,I3E95,티에스와이,TSY,서선숙,1077547064,010-7754-7064,"인천광역시 미추홀구 주안동로25번길47-11, 302호(주안동, 경일하이빌)",88.051,"23,104,300"
48753,4,SCF0038,1,10970,***,△△함 탄약 승강기 정비,물품,SCF,해군군수사령부,2021-05-04 10:30,A8797,(주)대명엘리베이터,"daemyung elevator co., ltd.",김동건,522882700,052-288-2700,"울산광역시 북구 활밤로 19(효문동, (주)대명엘레베이터)",84.615,"41,342,200"
48755,96,SCF0285,1,9578,***,커플링 등 13종 구매,물품,SCF,해군군수사령부,2021-05-04 10:30,J9F8C,(주)블루마린,,조희수,552967722,055-296-7722,경상남도 창원시 진해구 충장로235번길13-1 (경화동),88.075,"39,510,500"
48767,465,HCF0113,1,15238,***,"발생기,가스압력,추진제식,훈련용",물품,HCF,공군군수사령부,2021-05-04 10:30,IEB1F,피에이치에스(PHS),,박향순,538153881,053-815-3881,경상북도 경산시 중방로10-0 (중방동),88.043,"77,598,400"
48768,43,HCF0110,1,14739,***,개선 식탁,물품,HCF,공군군수사령부,2021-05-04 10:30,E04A2,준산업,JUN,최미진,337638669,033-763-8669,강원특별자치도 원주시 소초면 장수2로196-20 가(A)동,88.058,"43,765,000"
48772,176,LFK0027,1,15841,***,21년 폭염대비 물자 구매,물품,LFK,육군종합군수학교,2021-05-03 11:00,K8ED9,예스원컴퍼니,,봉명균,1055004220,010-5500-4220,"대전광역시 서구 정림서로114 (정림동, 삼정하이츠) 105-307호",88.005,"16,924,670"
48773,185,SCH0041,1,15875,***,샤프 등 1122종 구매,물품,SCH,해군작전사령부,2021-05-03 10:30,K9461,동하툴,,김경록,7046513947,070-4651-3947,"부산광역시 동래구 충렬사로81 (명장동, 국제파크아파트) 708호",88.0,"43,230,660"
48775,55,SCI0032,1,15686,***,"21048 / 변환기,신호자료용 등 2종 6점 구매",물품,SCI,제9121부대,2021-05-03 10:30,JCFB8,이트렌드,,이정배,7047890055,070-4789-0055,"경상남도 창원시 성산구 원이대로580번길3, 3층 346호(중앙동, GS25 용지점)",88.007,"10,085,920"
48779,79,SCN0089,1,15846,***,승용식 그린 버티칼테크 3개,물품,SCN,제7001부대,2021-05-03 10:30,AFD1A,(주)텍스코,"TEXKO CO.,LTD.",정종수,312163489,031-216-3489,경기도 용인시 기흥구 용구대로 1965SANGGAL MALL 2층 (주) 텍스코,95.951,"16,500,000"
48780,16,LPN0008,1,15812,***,양주헤스티아 씽크대 설치납품,물품,LPN,수도군단,2021-05-03 10:30,F645D,장원퍼니디어,jangwonfurnidea,오병석,312867391,031-286-7391,경기도 화성시 양감면 은행나무로170번길18-0,88.283,"25,782,425"
48783,240,LKH0014,1,15711,***,코로나 백신 경계용 3단진압봉 구매,물품,LKH,제6128부대,2021-05-03 10:30,J58E5,주식회사 대명종합상사,,강기용,556026626,055-602-6626,"경상남도 창원시 진해구 여좌로110-2 (여좌동, 수진빌라)",88.008,"28,337,120"
48784,12,LQP0018,1,15703,***,'21년 전장관리체계 소모품 구매,물품,LQP,제1891부대,2021-05-03 10:30,K2B91,더지안(THE JIAN),,최주희,1047273748,010-4727-3748,"강원특별자치도 원주시 서원대로500-0, 4층 402-J2호 (단구동)",88.065,"7,760,000"
48785,239,LKF0010,1,15677,***,21년 대대 장병 안전보호세트 구매 계약,물품,LKF,제6755부대,2021-05-03 10:30,I853E,퍼펙트리,perfectry company,김영애,1045041801,010-4504-1801,"대구광역시 서구 문화로325-3, 502호(비산동, 꿈그린빌)",88.002,"55,015,160"
48787,210,LKH0013,1,15670,***,전장순환훈련용 더미 구매,물품,LKH,제6128부대,2021-05-03 10:30,JCFB0,재동상사,,김병환,552423321,055-242-3321,경상남도 창원시 마산합포구 산호동3길14 (산호동),88.002,"23,383,400"
48788,21,HDP0042,1,16052,***,캐노피 세척대 등 9종 구매 (21-100),물품,HDP,공군제19전투비행단,2021-05-03 10:30,I6AA9,주식회사 금호테크놀로지,kumhotechnology,이정호,7047727683,070-4772-7683,"충청북도 충주시 남산13길12-1, 1층101에이(교현동)",88.008,"52,063,110"
48789,2,SCN0091,1,15867,***,다니톨 등 14종,물품,SCN,제7001부대,2021-05-03 10:30,F72D2,제일종묘사,jeilseed,정영재,555853567,055-585-3567,경상남도 함안군 가야읍 함안대로778-0 (제일종묘사),89.012,"9,868,760"
48790,185,SCK0059,1,15868,***,방청윤활제 등 113종 구매,물품,SCK,해군교육사령부,2021-05-03 10:30,J77DF,이동유통,,최민지,1085486442,010-8548-6442,"경상남도 창원시 의창구 남산로20 (팔용동, 벽산블루밍아파트C단지) 302-105",88.013,"46,553,700"
48803,2564,LCG0040,1,15574,***,신앙상징물 4종 구매,물품,LCG,육군본부,2021-04-30 11:00,K6693,퍼스트원,,이지연,010-7260-8858,010-7260-8858,충청남도 공주시 계룡면 금띠길55-0,88.0,"50,838,285"
48805,204,SFD0040,1,15566,***,군번도장 등 523품목 구매 납품,물품,SFD,제9227부대,2021-04-30 11:00,FF89A,우영상사,wooyoung,장우영,1098000898,010-9800-0898,경상북도 상주시 화서면 봉촌1길75-0,88.006,"56,744,510"
48806,33,HCM0070,1,15535,***,21-153 동물용 심전도계 1품목,물품,HCM,공군교육사령부,2021-04-30 11:00,JCE2E,세명종합공구,,이정자,555520631,055-552-0631,경상남도 창원시 진해구 용원동로294 (용원동),88.005,"27,748,960"
48809,3,UMM0263,1,11958,***,21-해병 플라스틱 파레트 제조,물품,UMM,국군재정관리단,2021-04-30 11:00,DB542,주식회사 세화프라스틱,"SEHWA PLASTIC Co., ltd",정광운,549546666,054-954-6666,경상북도 고령군 다산면 다산산단로 257(),88.122,"129,334,260"
48817,35,LNQ0022,1,15531,***,번개공원 환경개선 자재납품,물품,LNQ,제17보병사단,2021-04-30 10:30,J397F,주식회사 지경이앤씨,,류해선,322330002,032-233-0002,인천광역시 미추홀구 인주대로346 (주안동) 삼익빌딩 3층,88.002,"10,108,000"
48822,463,SCH0039,1,15618,***,3단 진압봉 등 3종 구매,물품,SCH,해군작전사령부,2021-04-30 10:30,J2D67,코리아O.A시스템,,정명숙,070-7842-9080,070-7842-9080,경상남도 양산시 동면 금오13길71-0,88.0,"32,697,310"
