입찰명,카테고리
16-S-03 전세버스 임차 용역,미분류
RG 400 CABLE 등 94품목,미분류
고속고무보트 7인승 구매,미분류
이기종 연동장비세트(게이트웨이set 등 2품목),미분류
"링,피스톤용 등 8종",미분류
"그로밋,금속제 등 3종",미분류
송수화기 등 2종,미분류
하후생 학과 출장가방 1종,미분류
고속고무보트 7인승 구매,미분류
운고측정장비,미분류
스파게티소스,미분류
"요대,개인장구용",2종
16-인성교육프로그램 등 연구 용역 계약,미분류
'16년 통합보안관제체계 구축사업(리스물건),미분류
CMSS 교육용 의자 등 9종,2종
00지역 군숙소 계단 청소 용역,미분류
민간인 지뢰제거 방안 연구,5종
간부숙소 6개소 개수 바닥난방시설 설치 구매,4종
"집진기,이동식 등 1항목 구매(기장)",미분류
차량오일 수거기 등 4항목 구매(기장),7종
브레이크 시험기 등 4항목 제조(기장),9종
투광기 거치대 등 237품목,미분류
냉장배식대 2대 구매,미분류
테이블 등 0종 제조납품,미분류
복사용지 등 538종,미분류
축전지 등 2종 구매,2종
16-8차 의약품 및 의료기재 구매,8종
리빙각티슈 등 20종,미분류
디지털 칼라전용지 등31품목,미분류
디지털 칼라전용지 등31품목,미분류
00부대 노후 방송장비 교체 설치,미분류
간부 상담역량 강화 진단 프로그램 개발,미분류
팽창변 등 12종(2-2),미분류
윤활유 펌프 등 2종(2-2),3종
팽창변 등 12종(2-2),미분류
전차용 표적 및 표적꽂이,7종
"부품키트,봉합재용",9종
자동캔따개 등 3항목 구매(물자),미분류
추석 경축특식(과자세트) 구매(제조),미분류
2016년 한국-GCC 방산협력 컨퍼런스 행사진행,미분류
광전송장비 유지보수,미분류
제트스트림 3색 볼펜 등 183품목,미분류
중형제독기수리부속,9종
디젤 지게차 등 2종 구매,미분류
장비운영소모품(58차) 구매,미분류
의료기재(49차) 구매,미분류
"격막, 밸브용, 평면형 등 13품목",4종
주방가구 등 4종 제조 설치,2종
기밀유출 차단용 보안용지 구매,미분류
무선송수신기(무선인터컴) 제조설치,미분류
수도병원 의무비품 3단침대 등 2종 구매,미분류
찬밧드냉장고,미분류
프린트 토너 등 146종,2종
드라이버 및 플라이어류,미분류
내경홈 가공용 홀더 등 174품목,미분류
포스트 잇 등 354종,미분류
전압조절기 하부조립체 1종,미분류
'16년 대출력 앰프(성우회관) 시스템 구매사업,미분류
배터리 2종 구매,9종
풋살경기장 인조잔디 제조설치 납품(3개소),미분류
변압기 등 제조 설치,미분류
제설함 등 5종 구매,미분류
손목받침대 등 143종 구매,미분류
00함 화장실/세면장 바닥 정비,미분류
귀덮개 등 861종,미분류
경유(저유황) 등 3종,3종
풋살경기장 인조잔디 제조설치 납품(3개소),미분류
"헬기 구성품(제어장치,시동보조기용) 정비",미분류
자주포 포탑부품류,7종
제초(건초)작업 용역,미분류
"조달-방-16-28 11,000파운드 지게차",미분류
사무용(OA)비품,미분류
3분기 교육예산(교육장비 등) 구매,미분류
기동단 조향장치 시험장비 외주정비 용역,미분류
505여단 16-3차 디지털판초우의 구매,미분류
스위칭허브 등 168종,미분류
(16-090) 배터리 충전기,9종
00지역 시설물 정밀점검 용역,미분류
00부대 UPS 제조설치,미분류
16년 원격교육체계 장비 설치 납품,미분류
계룡대 발전기 병렬운전반 제조 설치,미분류
기밀유출 차단용 보안용지 구매,미분류
인쇄용지 2종(크라프트지등 2종),미분류
16년 목재펠릿 구매,4종
"(육성)505여단 핸드토키, 개인화기조준경 구매",7종
"(육성)505여단 수통, 수통피 구매",미분류
"(육성)505여단 탄띠, 탄입대 구매",미분류
국가기술자격 학습교재 구매,미분류
염화칼륨 40주 등 98종(의약품),8종
3M Durapore Surgical Tape 등 143종,미분류
니퍼 등 107종,미분류
보일러 제조 설치 납품,미분류
식기세척기(2대) 임차,미분류
쇄석(25mm)등 2종 구매.,미분류
유류시험기자재 구매,미분류
양면테이프 등 37종,미분류
스티마릴주 등 2종(예방약품),미분류
런닝머신 등 4종,미분류
샤워 타올 1종,미분류
"One-Stop 수송지원(7,15사단) 전세버스 수송용역",미분류
(육성) 조준경 구매,미분류
(육성) 향방물자 GPS 등 3건 구매,미분류
"ㅇㅇ연대 컨테이너 제조, 설치, 납품",2종
"(조달)3훈비 인양기,소형기중기(16-2-168) 구매",미분류
군용 위장망 구매,2종
케리케이블 수중절단장치 1EA,4종
(육성) 향방물자 구매(구급낭 셋 등 6건),미분류
(육성) 103-2대대 스마트훈련 체계 설치,미분류
현측 PE 방현대 등 5종 구매,미분류
유압식 쇼트 램 등 7종,미분류
군용 판초우의 제조납품,미분류
컨테이너 제조설치 납품,2종
디지털 군장 구매납품,미분류
PMS 이동형 중계기 설치납품,미분류
군장덮개 구매,미분류
아스테이지 등 28종,미분류
회로카드 조립체 등 2종,미분류
16-국방어학원 외국어 교재 23종 구매,미분류
16-국방어학원 연간 국내출판도서 구매(2차),10종
시설/조경용역 기계경비 자재구매(4차),미분류
제트스트림 유성펜 등 61종,미분류
GOP 부스터펌프 설치납품 2차,미분류
플러스펜 등 10종,미분류
칼라프린터 잉크 등 48종,2종
복사용지 등 142종,미분류
플러스펜 등 683종,미분류
16-00대학교 항온항습기 제조 설치,미분류
국가기술자격검정 교재 구매,미분류
복사용지 등 37종,미분류
레이저 프린터 토너(재생) 등 4종 구매,2종
함정용안테나부품(구매),7종
개인용 특수천막(특전사용),2종
16년 전반기 물탱크청소 용역,미분류
디지털무늬 요대,미분류
신궁용 고순도 고압질소 구매,3종
천마유도탄 군직정비용 수송용기 6종 구매,미분류
방화지대 구축 용역(강원 춘천등 6곳),미분류
'16년 원격교육체계 교육용 조명기구 구매설치,4종
"암,조절,차량서스펜션용 등 17항목 구매(기장)",7종
증류수 시험기 구매(기장),미분류
16년 WAN장비(단독형 라우터등 3종) 교체 설치납품,미분류
조16-방관사-40 군수과 선풍기 등 4푸목,미분류
매직테이프 등 251종 구매,미분류
"도서 ""흰"" 등 87종 구매",10종
토너(LF-4160) 등 184종,2종
폐합성고무(35톤) 처리 용역,미분류
무선키보드 등 3종,미분류
양변기(세트) 등 30종 구매,미분류
"너트,결합용 등 7종",9종
"태핏,엔진 포핏 밸브용 등 5종",4종
열판 등 15종,미분류
복사용지외 69종 구매,미분류
일반예산(군어린이집 교재교구비) 교재 구매,미분류
건 등 20종 구매,미분류
3분기 위임3차(007OP 보일러실 배수펌프 등 12건),미분류
체형측정장비 구매 설치,미분류
함정 수밀 개폐구 교체 정비,미분류
000사업 발전기(200Kw) 제조설치,미분류
전산운영용품 구매(토너/드럼),2종
동명부대 급식류(배추김치 등 6종) 구매,1종
태성대아파트 보일러 구매 및 설치,미분류
복사용지 등 68종,미분류
직장 어린이집 주방기구 설치납품,미분류
16년 3분기 교육물품 구매(1차),미분류
Multi View (화상회의 ws)등 3품목,미분류
두루마리휴지등 27품목,2종
엔진오일 등 163품목 구매,3종
16-동 함정 노후의장품 교체 정비,미분류
탄약적재 운송용 트레일러,미분류
00학교 교과서 구매,10종
에어컨 6종 구매/설치,미분류
특전사 병사용 모표 1항목 구매(물자),미분류
항공기용 전원공급기 구매[장비정비대대],미분류
25톤 덤프 에어컨필터 등 13항목 구매(기장),9종
00부대 SMC 물탱크 제조 설치,미분류
지형분석장비 구매설치,미분류
무전기 유지물품 구매,2종
고정식 연결의자 제조설치 납품,2종
00부대 풋살경기장 인조잔디(6개소) 제조설치납품,미분류
00부대 풋살경기장 스포츠바닥재(1개소) 제조설치납품,미분류
2016년 원격교육체계 음향시스템 설치 납품,미분류
유사소총(BB탄) 감지조끼 등 29종 납품 설치,7종
도서(북한은 현실이다) 등 43종,10종
버스[44(45인승)]1대 임차 용역,미분류
ESCO사업 에너지 진단 용역,미분류
인터넷 홈페이지 ActiveX 제거 용역,미분류
드럼셋트마이크 등 3종 구매,미분류
얼룩무늬 차광막,미분류
일반예산(군어린이집 교재교구비) 교구 구매,미분류
인조잔디 등 7종,미분류
퐁퐁 등 118종,미분류
자주포 기어류,7종
항온항습기 7대 외주정비,미분류
교과서 196종 구매,10종
공군 표지장(후크형) 등 2종 제조,미분류
16-해-투하용 구명정(10인승)383EA 구매,미분류
신축교육센터 정보통신환경 구축사업(리스물건),미분류
상용차량 수리부속(타이어 등 11종)구매,9종
로프 등 14종,미분류
000사업 UPS 및 배터리 제조설치,9종
군숙소 도배/장판 설치납품(단가),4종
"검사세트,포신용,로봇형 등 1항목 제조(궤도)",미분류
런닝셔츠,미분류
런닝셔츠,미분류
런닝셔츠,미분류
군위성통신체계(고정용/휴대용)부품(구매),9종
'16년 특수무기 케이블조립체류,4종
00부대 풋살경기장 인조잔디(2개소) 설치납품,미분류
정수기임차용역(10대),미분류
리플렉타 42개(제작),미분류
등기구세트 등 3종,미분류
16-00대학교 UPS(무정전전원장치)교체,미분류
디지털 우의 제조납품,미분류
3분기 교육재료 구매,미분류
컨테이너 제조 설치 납품,2종
`16년 희망도서 구매,10종
안전모 등 6종,미분류
슬라이드난간 등 3품목,미분류
고각조절기 제조 설치,미분류
가지등 140품목,미분류
시청각기록물 DB화 관리체계 구축사업,미분류
16년 공군 상황전시장비 교체사업,미분류
2016년 임시 재고번호 및 관리번호 정비사업,미분류
"변환기조립체, 수중음파탐지기용",미분류
00병원 리모델링 관급자재(통합배선) 제조,미분류
가습기실린더세트 등 17종 219점,미분류
무정전 전원공급기 구매,미분류
군단 병영도서관 도서구매,10종
타이어 등 12종,9종
전반기 진지공사용 폐타이어 위탁처리 용역,미분류
홍천 동원훈련장 비품 구매(세탁기 등 7종),10종
205항공대대 00사업 발전기 제조설치납품,7종
번개탐지용 센서 구매설치,미분류
레펠장갑 등 2종 구매,미분류
15-본-육-육-06 스포츠조명(LED투광등기구) 제조설치,4종
좌식책상 등 2품목 제조,2종
고압인버터 등 21종(연평도),미분류
충민회관 바닥재 구매(연평도),미분류
텅스텐연마기 등 3종,미분류
에프호마이카 등 10종 구매,미분류
무선호출기 등 7종,미분류
디지털 온습도계 등 19종,미분류
GOP 온수보일러 설치납품 등 4건,미분류
전원공급기 구매,미분류
경남지역 현장사무소 이사용역,미분류
(조달)3훈비 16년도 하반기 토성회관 식자재 육류,미분류
"에어컨(벽걸이,7평형)외11종 구매.",미분류
"(16-185)항공장비(탐속기, 금속 결함 탐지용 세트)",7종
날크립 점보 등 40종,미분류
(육성) 향방물자 납품(방탄헬멧 외피 등 9종),2종
(육성) 군용 판초우의 납품,미분류
"(16-161)정밀측정장비(헤드스탠드,X-선용 튜브)",7종
전원공급기 등 3종,미분류
"(16-243)재난관리및물자(수신기, 적외선식)세트",미분류
리모트콘트롤써킷브레이커 등 3종,미분류
"밸브,버섯형,엔진용 등 2종",4종
"(육성) 군용 알루미늄 수통,수통피 납품",미분류
(육성) 군용 탄입대 납품,미분류
00복지관 흡수식 냉온수기 열교환기 청소,미분류
`16-00부대 헤드셋 마이크 등 46종 구매,미분류
00부대 간부식당 증축공사 건설폐기물 처리 용역,미분류
글러브 밸브 등 8종 구매,4종
식탁용 상판,미분류
분말소화기 239EA 구매,2종
도서 26종 구매,10종
구형화포부품류(구매),7종
"발전기세트,디젤엔진식 300KW",9종
"발전기세트,디젤엔진식 15KW",9종
"발전기세트,디젤엔진식 500kW",9종
VRC-946K장치대부품(구매),9종
(조달)3훈비 16년도 하반기 토성회관 식자재 공산물,미분류
황산칼륨 등 11항목 구매(물자),미분류
육경정 TOD 안정화장치 설치납품,미분류
휴대용 방사능측정기 등 1종 구매,7종
가전제품 구매/설치,미분류
디지털 인쇄기 토너 등 32종 구매,2종
2/4분기 교육비품 구매,미분류
00병원 전기증설공사 수배전반 제조 설치,미분류
"수호병 명예휘장(포제, 파스너테이프(루프)) 제조",미분류
전자동 세탁탈수기 등 4종 구매설치,10종
16-해-응축수회수펌프 등 23종 제조,미분류
다큐멘터리 방송 제작 및 송출용역,미분류
00병원 리모델링 관급자재(승강기) 제조,미분류
Premium 복사용지 등 194품목,미분류
에어필터키트 등 256품목,9종
C형 클램프 등 138품목,미분류
마이크케이블 등 75품목,4종
덱사에스피 등 130품목,미분류
3/4분기 교육예산 물품 구매,미분류
컴퓨터 등 2종 구매,2종
"받침대, 엔진 지지용 등 2종",9종
수전용 플러그 등 3종,미분류
잠수함 위생 및 오수탱크 청소 용역,미분류
컬러프린터 잉크토너 등 53종,2종
제본표지 등 45종,미분류
압착기 등 44품목 구매,미분류
전동스크린(매립형) 구매설치,미분류
16-평-0함대 버스 임차 용역,미분류
클리어화일 등 56종,미분류
벽걸이 에어컨 등 3종 구매,미분류
평 벤치 등 3종 구매,미분류
양면 각대봉투 등 124종,미분류
자주포 유압장치 부품류,7종
"고압호스(전차, 장갑차용)",7종
부력방탄복,미분류
"천막,개인전투용",미분류
공병전투도자유지부품,9종
병영식당 관통형 냉장·냉동고 제조설치,미분류
`16-본-국-02 00병원 리모델링 펌프 제조,미분류
`16-본-국-02 00병원 리모델링 냉각탑 제조설치,미분류
00아파트 시설개선 씽크대 제조설치,4종
저장랙 제조설치,미분류
국방 전화번호 통합 검색체계 구축사업,미분류
비행협조소 무인화 UPS 제조설치,미분류
00부대 인조잔디 제조설치 납품,미분류
205항공대대 00사업 혼합골재 제조,4종
스키드로더 후레쉬 에어필터 등 245항목 구매(기장),9종
로디우스 에어컨콤프 등 23항목 구매(기장),미분류
봉고3 와이퍼 등 19항목 구매(기장),미분류
다목적굴착기부품(구매),9종
훈련병 관리체계 및 모바일서비스 통합 유지보수 용역,미분류
승용식 잔디배토기 등 5종 구매,미분류
냉난방기 등 4종 구매,미분류
복사용지 등 79종 구매,미분류
"라인, 부상형 1종",미분류
공기압축기 등 3종,미분류
프로펠러 선박용 등 4종,미분류
축받이 조립체 3EA,미분류
자주포 운영용 수리부속류,9종
교정(간격조정) 부품류,9종
자주포 장치대(총포용),7종
MTU 엔진부품(구매),9종
에어콤프레샤,미분류
떡볶이떡,미분류
떡국떡,미분류
청관제 1항목 구매(물자),미분류
봉합조립체,미분류
씽크대 구매,미분류
'16~'17년 전군지원 전세버스 수송용역,미분류
디지털카메라(2종) 구매,미분류
빔프로젝트 램프 구매,미분류
'16년 병영생활플래너 표지 제조,미분류
00병원 리모델링 공기조화기 제조설치,미분류
00병원 리모델링 합성수지창호 제조,4종
"분리기,물분리용,액체연료식 등 3항목 구매(궤도)",3종
합동상호운용성시험소 네트워크 환경구축(설치납품),2종
모르타르 80루베,미분류
버스(45인승) 6대 임차 용역,미분류
디지털콘텐츠(전자책 기억을 담다 등 110종) 구매,미분류
파워스터링 오일,미분류
행정각대봉투 등 186종 구매,미분류
참치 통조림 등 11품목 구매,미분류
근속 30주년 기념휘장 등 4종 제조 구매,미분류
펌프 회전식 1종,미분류
여성예비군 피복류 3종 체촌 및 구매납품,2종
황사 마스크 구매,미분류
세절기 등 4종 구매납품(설치도),미분류
병영도서관 도서 구매,10종
박격포 등 화포부품류(구매),7종
쫄면,미분류
쫄면,미분류
쫄면,미분류
쫄면,미분류
"발전기세트,가솔린엔진식700W",9종
"발전기세트,디젤엔진식 30KW",9종
전지 축전식(BB-7184K),2종
방위사업 원가계산 외부용역 7차,미분류
"클러치, 외부부재용 등 6항목 제조(생산능력)(궤도)",미분류
"68차 위임보수, 2분기 전체지원비 자재납품",4종
1기갑 무압관수식 보일러 교체 제조설치납품,미분류
엔진오일 등 3종,3종
WAN장비 교체사업 구매설치,미분류
창조 21모델 11차 장비 구매 및 설치사업,미분류
16년 전군지원 상용SW 구매,미분류
15-본-육-06 관류식 진공온수보일러 제조설치,미분류
17∼21년 탄약비군사화시설 위탁운영 용역,미분류
인쇄용 고무롤러 피복 및 베어링 교체 용역,미분류
바세린 등 49품목 구매(의무),미분류
"클램프,루프형 등 15항목 구매",미분류
"게이지, 압력측정용, 문자판식 등 19품목",미분류
사격부운동용품(사격가방 등 11품목),미분류
열선유리 고정식 각창(볼트고정식) 등 9종,4종
"등,지시 및 장애물용 등 2종",미분류
테니스부운동용품(트레이닝복 등 4품목),미분류
태극기(정문 게양기) 등 4종 제조(연평도),미분류
여자축구부운동용품(축구화 등 13품목),미분류
"전자동 세탁 탈수기등 4품목(근-16-078, 080)",10종
도서(완벽하지 않은 것들에 대한 사랑) 등 73종,10종
항만단 체육관(강당) 신축공사 냉난방기 구매,미분류
기지방송망 장비 외주정비,미분류
전기 히터 등 2종,미분류
방수형 스위치붙이 리셉터클 등 2종,4종
엔진 브로워 등 3종,9종
보호복 등 176종 구매,미분류
전동카트 등 11종 구매,미분류
전기국솥 2EA 구매설치,미분류
친환경 클리어 파일 등 170종 구매,미분류
에어필터 등 57종 구매,9종
큐비클 출입문 노몰드형 등 33종 구매,미분류
복사용지 등 87종 구매,미분류
테프론 그랜드 팩킹 등 31종 구매,미분류
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
타이어플랩 등 22종 구매,9종
레미콘 등 12종 구매,4종
레미콘 등 12종 구매,4종
레미콘 등 12종 구매,4종
레미콘 등 12종 구매,4종
레미콘 등 12종 구매,4종
레미콘 등 12종 구매,4종
레미콘 등 12종 구매,4종
레미콘 등 12종 구매,4종
레미콘 등 12종 구매,4종
개스킷 등 17종,미분류
렌치 충격식 등 3종,미분류
"브이피시,콤플레트 등 11종",미분류
영상 편집기 구매,10종
미러리스 디지털 카메라 등 2종 구매,미분류
무인경보체계(CCTV) 외주정비,미분류
16-171 16년도 2학기 교과서(국내서),10종
16-172 16년도 2학기 교과서(외서),10종
재봉기 등 3종,미분류
"2.75"" 유도로켓(차량탑재형) 시설사업 선행연구",7종
16년 키폰교환기 교체사업,미분류
교도소 침대생산자재(철재류) 제조납품(2차),미분류
16-해병-ㅇㅇ사업 항온제습기 제조 설치,미분류
16-해병-ㅇㅇ사업 수배전반 제조 설치,미분류
B-Ⅱ 사업 정보체계 도입,미분류
공군 모범장병 및 군무원 국내 위로행사 관광용역,미분류
인쇄재료비 통합(5건),미분류
철(쇠)갈퀴 등 5종,미분류
군사제한구역 방범창 설치납품 5개소(위임2-2),미분류
2학기 국외교과서 구매,10종
16-목-군 숙소 LED TV 임차 용역,미분류
전선릴 등 60종 구매,4종
컨센트릭 밸브조립체 등 35종,4종
구명정등 1종,미분류
16-평-000호정 추진기 시그널 컴버터 외주정비 용역,미분류
함정용 식기소독기 5EA,7종
"밸브,조립용 등 2종",4종
16-2차 동명부대 재보급물자 해상수송 용역,미분류
차량 수리부속(점화플러그 등 87종) 구매,9종
"플러그,배출용(76미리함포 부품)",7종
'16년 속도조절기,미분류
포장면 균열보수용 도로 봉함재 구매,4종
필터엘리먼트 등 8종 구매,9종
16-항과고 학생 해외(중국) 현장학습 용역 계약,미분류
도식교보재 제작 장비 구매,미분류
00지역 소방시설 종합정밀점검 용역,미분류
동명부대 친선물자 구매,미분류
동명부대 민군물자 구매,미분류
00부대 전원공급장치(DC-48V 등 4품목) 제조 설치,미분류
전반기 전산운영용품 구매,2종
동명부대 친선물자 구매,미분류
동명부대 민군물자 구매,미분류
16-208 학과가방 구매,미분류
버너 등 2종,미분류
전자전장비(ULQ-11/12K) 펄스변조기 정비,미분류
킴테크 와이퍼 대형 등 274종,미분류
코팅기 등 5종,미분류
금속 세척제 및 녹 제거제 1종,미분류
버스(45인승) 3대 임차 용역,미분류
군장품(포제명찰) 부착제조,2종
16-인-실내공기질 측정 용역,미분류
복사용지 등 9종,미분류
용접작업대 등 4종,미분류
자동에어릴 등 6종 구매,미분류
000관리대 프린터 임차(17대),2종
00사 렌탈 프린터 임차(6대),2종
위임 60차 / 106연대 가압펌프 설치 자재납품,미분류
코팅필름 등 96종,미분류
냉온수기 추기펌프 등 5종,미분류
런닝머신 등 2종,미분류
잠수함 잠망경 헤드윈도우 정비,미분류
함정 추진기 조패류 수중제거 용역,미분류
"펌프,유압식,수동식",미분류
구급차탑재물자(물품),8종
전원공급기 등 26종 구매,미분류
교육용 측량장비세트 구매,미분류
인서트팁등70종구매,미분류
"00포대, 00연본 풋살경기장 인조잔디 제조설치납품",미분류
헌병 가죽장구 등 10종 제조,미분류
복지정보체계 장비교체사업(리스물건),미분류
중성자 선량/선율 측정기 구매,7종
00대대 풋살경기장 인조잔디 제조설치납품(2),미분류
00대대 풋살경기장 인조잔디 제조설치납품(1),미분류
마이크로필름 복사기 구매,미분류
16-평-000대대 버스 임차 용역,미분류
온도계 등 210종,미분류
16년 발칸포가부 부품(구매),9종
"멈치, 접촉 조립체용",미분류
복사용지 등 259종,미분류
16-2차 기술교범 외주번역,미분류
잠수함(SS-Ⅰ) 선체 청락/도장 용역,미분류
마그네틱 콘덕터 등 12종,미분류
전치 증폭기 등 2종,미분류
"테이프, 녹아붙임 방지용 등 5종",미분류
MTU16V2000 M91(M/F) 총분해(W-6) 정비,미분류
동내의,미분류
건물외부 유리창 청소 용역,미분류
항공화물운송(캐나다) 용역,미분류
1607부대 16년 상병건강검진시약 구매,미분류
적외선 카메라 구매설치,미분류
천마유도탄 정비용 자재 72종 구매,미분류
체력단련장 코스관리물품 비료 구매,미분류
노후 LAN 교체사업(리스물건),미분류
Y 커플러 등 37품목,미분류
2016년 의무장비 고주파수술기 구매,8종
1607부대 16년 상병건강검진시약 구매,미분류
16-2차 시추공 매몰방지용 자재(PVC) 제조구매,미분류
16-2차 항과고/훈련단 식당 부식물 구매,1종
진상용 콘덴서외 26종 구매,미분류
토너(LBP6330K) 등 28종 구매,2종
2분기 전산운영용품 구매,2종
유성펜 등 203종 구매,미분류
축 등 11품목,미분류
16-동 함정 청수팽창탱크 교체 정비,미분류
제트유(JP-5) 1종,3종
미끄럼방지 3호 규사 등 2종,미분류
입구 샤프트 씰 등 2종,미분류
에더넷트 스위치 24포트 등 20종,미분류
스위치 등 9종,미분류
"너트,평면,육각형 등 7종",9종
회로카드 조립체 등 9종,미분류
방검부력조끼 90EA,미분류
제트유(JP-5_도서) 1종,3종
KA-1 CBTS 개선 및 보수 용역,미분류
"일반호스(전차, 장갑차용)",7종
통신 네트워크 등 44항목 구매(물자),2종
터미날(축전지용),2종
"국내 방위산업 기반(탄약, 화생방 분야 등) 조사",미분류
방위산업 발전 및 경쟁력 강화를 위한 법적기반 연구,10종
절충교역 물품자산 재물조사,10종
기갑병헬멧부품(구매),9종
퀼팅원단,미분류
덮개조립체 등 112항목 제조(궤도),미분류
아파트 청소용역(푸른숲),미분류
00부대 의약품 구매,8종
00지역 오수처리 시설 관리용역,미분류
11차 의약품 및 의료기재 부대구매,8종
교육장비(질량분석기) 구매,미분류
정밀측정장비(스펙트럼분석기 등 4종) 구매,7종
자동전압조정기,미분류
00부대 모바일 상품권 구매,미분류
00부대 인쇄 및 전자출판장비 설치 납품,미분류
M2장간조립교 정비용역(사후 72-1차),미분류
00부대 냉난방기 설치납품(16-152),미분류
00부대 냉난방기 설치납품(16-145),미분류
베라크루즈 타이어 등 14항목 구매(기장),9종
"튜브 조립체,금속제 등 39항목 제조(특무)",미분류
16-066 복지대대 난방연료,3종
`16-00부대 마이크로피펫 등 5종 구매,미분류
초음파두께측정기 1EA,7종
16-장비(ESTS) 외주정비,미분류
스테인리스 파이프 등 8종 구매,4종
16-168 드론 등 13종,7종
위임 59차 / 103연대 본부 냉방기 선로공사 자재구매,미분류
(육성) 동원처 에어컴프레샤 24대 구매,미분류
지하매설물 탐지기 구매,미분류
비플렛클라리넷 리드 등 11종 구매,미분류
'16-덕-3차 전산운영용품 구매,2종
충민회관 식자재 구매(연평도),미분류
'16-K-식기세척기 임차 용역,미분류
방충망 등 74종 구매,미분류
16-동 함정 수밀개폐구 교체 정비,미분류
사후생훈련철제표지(대) 등 97종,미분류
"파인애플 5,290KG 구매",미분류
에폭시 프라이머 피복키트 등 11종,2종
4K 카메라 구매,미분류
의료기재(HDL-C외 71종) 구매,미분류
슈퍼타이 등 75종 구매,미분류
경계용 울타리 자재 구매 및 설치,미분류
00지역 부대이전사업 스틸그레이팅 제조설치,미분류
조기경보(SPS-1000) 자동점검장비 유지보수,미분류
00부대 등 6개소 풋살장 인조잔디 제조설치,미분류
생도 53기 국내전적지 탐방 수송 용역,미분류
"스위치,토글식 등 14항목 구매(특무)",미분류
(16-089) 타이어,9종
상담콜센터 운영 용역,미분류
00지역 부대이전사업 스틸그레이팅 제조설치,미분류
브리핑체계 도입사업,미분류
빔프로젝터 도입사업,미분류
ㅇㅇ창 정비시설 신축 크레인 제조 설치,4종
교육장비(초자기구세척기 등 9종) 구매,미분류
비행조종장치용 시험세트 구매,미분류
파병용 운동복 등 3종 제조납품,미분류
119-2 풋살경기장 인조잔디 등 설치납품,미분류
00부대 간부숙소 개선,미분류
렌즈 등 9항목 제조(특무),미분류
천마유도탄 군직정비용 수리부속 구매,9종
의무장비운영 소모품 구매(6월),8종
함정용 수저 B형 1종,7종
도서(아랍의봄 등 110종) 구매,10종
16-00부대 폐기물처리 용역,미분류
건전지 등 81종 구매,2종
전동드릴 등 14종,미분류
내화 금고,미분류
체육관매트 등 19종,미분류
레그익스텐션 등 11종,미분류
복사용지 등 37종,미분류
미니바이스 등 49종 구매,미분류
"어댑터, 전지, 단자용 등 21품목",2종
니콘 카메라 배터리 등 45종,9종
16-목-28인승 버스임차 용역(2),미분류
'16-00사 소방시설 종합정밀점검 및 작동기능점검,4종
"캡,튜브용 등 11종",미분류
해상 등화관재 스위치 1종,미분류
플런저 등 2종,미분류
감속기어 1종,미분류
"호이스트,체인식 1종",미분류
'16-오수처리시설 설비 교체,4종
파워그립 장갑 등 187종 구매,미분류
압축기(FX5) 1종,미분류
항-16-035 체성분분석기 휴대형,미분류
빙과 냉장고 등 18종,미분류
염색 침투 탈상제(세척액) 등 21종,미분류
잉크 등 52종,2종
본덱스 등 46품목 구매,미분류
천마유도탄 군직정비용(기계류)제조,미분류
의약품(마이드린캅셀 등 122종) 구매,8종
마개 등 2종,미분류
실린더라이너 등 48종,미분류
천마유도탄 군직정비용(기계류)제조,미분류
광학장비부품류,9종
자주포 전기전자장치부품류,7종
DC 전원연결케이블 등 3항목 제조,4종
궤도차량 캡 조립체 정비기술개발 소요자재 구매,미분류
고속정전투화,미분류
00부대 풋살경기장 재재(완제품) 설치납품,미분류
00부대 의료기재 구매,미분류
OO지역 통신장비 구매설치,미분류
16년 안전진단 장비 구매,미분류
고소작업대 구매,미분류
독점조달 및 계약비리 등 조달제도 개선방안 연구,10종
폭발물처리 교육 전군 통합 필요성 검토 및 방안 연구,10종
"호스 조립체,비금속제 등 27항목 구매(궤도)",미분류
방수 주머니 등 4항목 구매(궤도),4종
탐조등 릴레이상자 등 7항목 구매(궤도),미분류
"베어링,플레인형,로드 엔드형 등 52항목 구매(궤도)",9종
장치대 등 45종 구매,미분류
앵카 윈드라스 브레이크 패드 등 13종 구매,9종
청소기 등 32종 구매(연평도),미분류
16-덕-물탱크청소용역,미분류
수신기 등 17종,미분류
전기 국솥 구매,미분류
자동화사격훈련장 유지보수 용역,미분류
'16-00사 영내시설 청소용역,미분류
의약품 및 의료기재 구매(6월),8종
00부대 이전사업 화강석 제조 및 납품(16-특별-04),미분류
00부대 이전사업 관급자재(온수저장탱크)(16-특별-03),미분류
탁구채 등 22종 구매,미분류
연결컨넥터 등 641종 구매,미분류
